feature1,feature2,correlation,abs_correlation
title_cosine,subjects_cosine,0.6647216966045969,0.6647216966045969
person_cosine,title_subjects_harmonic,0.6629760964562514,0.6629760964562514
provision_cosine,person_title_harmonic,0.6543741930523856,0.6543741930523856
person_levenshtein,title_subjects_harmonic,0.6508455864011279,0.6508455864011279
person_cosine,title_provision_harmonic,0.635402839909343,0.635402839909343
provision_cosine,title_subjects_harmonic,0.6303966578376196,0.6303966578376196
person_levenshtein,title_provision_harmonic,0.629797686281864,0.629797686281864
title_cosine,provision_cosine,0.6215802367292167,0.6215802367292167
provision_cosine,person_levenshtein,0.6135733561835246,0.6135733561835246
provision_cosine,person_subjects_product,0.6008156732339788,0.6008156732339788
provision_cosine,person_subjects_harmonic,0.5988609824431933,0.5988609824431933
person_cosine,title_cosine,0.5985661760093106,0.5985661760093106
person_cosine,provision_cosine,0.591553610468271,0.591553610468271
title_cosine,person_levenshtein,0.5811888118433209,0.5811888118433209
provision_cosine,subjects_cosine,0.551598429710965,0.551598429710965
subjects_cosine,composite_subjects_ratio,-0.2667222270782916,0.2667222270782916
provision_subjects_harmonic,composite_subjects_ratio,-0.2458251064174353,0.2458251064174353
person_subjects_harmonic,composite_subjects_ratio,-0.23627603490169463,0.23627603490169463
person_subjects_product,composite_subjects_ratio,-0.20191411320875,0.20191411320875
title_subjects_harmonic,composite_subjects_ratio,-0.1974259448509495,0.1974259448509495
composite_cosine,composite_subjects_ratio,-0.08766441384189755,0.08766441384189755
title_cosine,composite_subjects_ratio,-0.08258995298089293,0.08258995298089293
person_title_harmonic,composite_subjects_ratio,-0.08252441734549834,0.08252441734549834
title_provision_harmonic,composite_subjects_ratio,-0.07986119688002564,0.07986119688002564
person_levenshtein,composite_subjects_ratio,-0.07833654170865334,0.07833654170865334
person_provision_harmonic,composite_subjects_ratio,-0.07118672271968257,0.07118672271968257
person_cosine,composite_subjects_ratio,-0.06813411740586077,0.06813411740586077
provision_cosine,composite_subjects_ratio,-0.05740255599578615,0.05740255599578615
